Filename,Fastest_Tool,Min_Time,Phaserr_Time
p_0.00_0.00_0.30_100.00_0.00_0.00.smt2,Z3,0.0395,1.6194
p_0.00_0.00_0.30_100.00_12.50_0.00.smt2,Z3,0.0396,1.6051
p_0.00_0.00_0.30_2000.00_0.00_25.00.smt2,Z3,0.0401,2.083
p_0.00_0.00_0.30_1050.00_0.00_12.50.smt2,Z3,0.0402,1.5827
p_0.00_0.00_0.30_100.00_0.00_12.50.smt2,Z3,0.0404,1.5813
p_0.00_0.00_0.30_100.00_25.00_0.00.smt2,Z3,0.0405,1.5866
p_0.00_0.00_0.30_100.00_25.00_12.50.smt2,Z3,0.0405,1.5931
p_0.00_0.00_0.20_2000.00_25.00_12.50.smt2,Z3,0.0407,1.5679
p_0.00_0.00_0.20_2000.00_0.00_12.50.smt2,Z3,0.0407,1.7079
p_0.00_0.00_0.30_100.00_25.00_25.00.smt2,Z3,0.0407,1.6281
p_0.00_0.00_0.20_2000.00_25.00_25.00.smt2,Z3,0.0408,1.5814
p_0.00_0.00_0.20_2000.00_12.50_0.00.smt2,Z3,0.0409,1.6272
p_0.00_0.00_0.10_100.00_25.00_0.00.smt2,Z3,0.0409,1.631
p_0.00_0.00_0.30_100.00_0.00_25.00.smt2,Z3,0.0409,1.6013
p_0.00_0.00_0.10_1050.00_0.00_0.00.smt2,Z3,0.041,1.8332
p_0.00_0.00_0.10_100.00_25.00_25.00.smt2,Z3,0.0411,1.6836
p_0.00_0.00_0.20_2000.00_25.00_0.00.smt2,Z3,0.0411,1.6695
p_0.00_0.00_0.30_1050.00_0.00_0.00.smt2,Z3,0.0411,1.6585
p_0.00_0.00_0.20_100.00_12.50_0.00.smt2,Z3,0.0412,1.6579
p_0.00_0.00_0.30_1050.00_25.00_0.00.smt2,Z3,0.0412,1.6457
p_0.00_0.00_0.20_2000.00_12.50_25.00.smt2,Z3,0.0413,1.6532
p_0.00_0.00_0.10_2000.00_0.00_25.00.smt2,Z3,0.0413,1.6434
p_0.00_0.00_0.10_1050.00_25.00_0.00.smt2,Z3,0.0414,3.742
p_0.00_0.00_0.20_100.00_25.00_0.00.smt2,Z3,0.0418,1.6168
p_0.00_0.00_0.20_2000.00_12.50_12.50.smt2,Z3,0.0419,4.4571
p_0.00_0.00_0.20_1050.00_25.00_12.50.smt2,Z3,0.0419,1.681
p_0.00_0.00_0.10_100.00_12.50_12.50.smt2,Z3,0.0419,1.7587
p_0.00_0.00_0.10_1050.00_12.50_25.00.smt2,Z3,0.042,1.7649
p_0.00_0.00_0.10_2000.00_12.50_25.00.smt2,Z3,0.042,1.6991
p_0.00_0.00_0.30_1050.00_0.00_25.00.smt2,Z3,0.0422,1.5929
p_0.00_0.00_0.20_1050.00_12.50_12.50.smt2,Z3,0.0423,1.7097
p_0.00_0.00_0.30_100.00_12.50_12.50.smt2,Z3,0.0423,1.7298
p_0.00_0.00_0.20_100.00_25.00_12.50.smt2,Z3,0.0424,1.6413
p_0.00_0.00_0.20_1050.00_25.00_25.00.smt2,Z3,0.0426,1.6205
p_0.00_0.00_0.10_1050.00_25.00_25.00.smt2,Z3,0.0426,1.8053
p_0.00_0.00_0.30_2000.00_12.50_12.50.smt2,Z3,0.0426,1.7749
p_0.00_0.00_0.10_100.00_0.00_25.00.smt2,Z3,0.0426,1.7247
p_0.00_0.00_0.20_100.00_0.00_25.00.smt2,Z3,0.0426,1.6178
p_0.00_0.00_0.10_2000.00_0.00_12.50.smt2,Z3,0.0428,1.6308
p_0.00_0.00_0.20_100.00_12.50_12.50.smt2,Z3,0.0429,1.6759
p_0.00_0.00_0.20_1050.00_12.50_25.00.smt2,Z3,0.0429,1.6566
p_0.00_0.00_0.20_2000.00_0.00_25.00.smt2,Z3,0.0429,1.7211
p_0.00_0.00_0.20_1050.00_0.00_0.00.smt2,Z3,0.0429,1.6534
p_0.00_0.00_0.30_1050.00_12.50_25.00.smt2,Z3,0.0429,1.7487
p_0.00_0.00_0.20_1050.00_12.50_0.00.smt2,Z3,0.0431,1.7768
p_0.00_0.00_0.30_100.00_12.50_25.00.smt2,Z3,0.0432,1.6973
p_0.00_0.00_0.10_2000.00_12.50_12.50.smt2,Z3,0.0432,1.6349
p_0.00_0.00_0.20_1050.00_0.00_25.00.smt2,Z3,0.0432,1.6805
p_0.00_0.00_0.30_2000.00_0.00_0.00.smt2,Z3,0.0433,1.7229
p_0.00_0.00_0.10_2000.00_25.00_0.00.smt2,Z3,0.0433,1.6406
p_0.00_0.00_0.20_1050.00_25.00_0.00.smt2,Z3,0.0435,1.6247
p_0.00_0.00_0.20_100.00_25.00_25.00.smt2,Z3,0.0436,1.672
p_0.00_0.00_0.30_2000.00_0.00_12.50.smt2,Z3,0.0437,1.7129
p_0.00_0.00_0.20_1050.00_0.00_12.50.smt2,Z3,0.0441,3.4711
p_0.00_0.00_0.30_1050.00_25.00_12.50.smt2,Z3,0.0442,1.7335
p_0.00_0.00_0.30_2000.00_25.00_25.00.smt2,Z3,0.0442,2.0785
p_0.00_0.00_0.20_100.00_12.50_25.00.smt2,Z3,0.0443,1.7434
p_0.00_0.00_0.30_1050.00_12.50_0.00.smt2,Z3,0.0444,1.606
p_0.00_0.00_0.10_2000.00_12.50_0.00.smt2,Z3,0.0445,1.7705
p_0.00_0.00_0.20_100.00_0.00_12.50.smt2,Z3,0.0446,1.6955
p_0.00_0.00_0.10_100.00_0.00_12.50.smt2,Z3,0.0447,1.8686
p_0.00_0.00_0.10_100.00_12.50_25.00.smt2,Z3,0.0447,1.9324
p_0.00_0.00_0.30_2000.00_25.00_0.00.smt2,Z3,0.0449,2.2163
p_0.00_0.00_0.10_1050.00_12.50_12.50.smt2,Z3,0.045,2.0988
p_0.00_0.00_0.10_1050.00_12.50_0.00.smt2,Z3,0.045,1.801
p_0.00_0.00_0.20_2000.00_0.00_0.00.smt2,Z3,0.0452,1.8066
p_0.00_0.00_0.30_2000.00_12.50_0.00.smt2,Z3,0.0453,1.8407
p_0.00_0.00_0.10_2000.00_0.00_0.00.smt2,Z3,0.0453,1.7274
p_0.00_0.00_0.10_2000.00_25.00_25.00.smt2,Z3,0.0457,1.7258
p_0.00_0.00_0.20_100.00_0.00_0.00.smt2,Z3,0.0457,4.0052
p_0.00_0.00_0.10_2000.00_25.00_12.50.smt2,Z3,0.0458,1.7482
p_0.00_0.00_0.10_100.00_25.00_12.50.smt2,Z3,0.0458,1.8949
p_0.00_0.00_0.30_1050.00_25.00_25.00.smt2,Z3,0.0469,1.7252
p_0.00_0.00_0.10_1050.00_0.00_12.50.smt2,Z3,0.0471,1.966
p_0.00_0.00_0.30_1050.00_12.50_12.50.smt2,Z3,0.0476,1.7882
p_0.00_0.00_0.30_2000.00_25.00_12.50.smt2,Z3,0.0494,2.184
p_0.00_0.00_0.10_1050.00_25.00_12.50.smt2,Z3,0.0499,1.8547
p_0.00_0.00_0.30_2000.00_12.50_25.00.smt2,Z3,0.0507,4.6134
p_0.00_0.00_0.10_100.00_12.50_0.00.smt2,Z3,0.0511,1.8166
p_0.00_0.00_0.10_100.00_0.00_0.00.smt2,Z3,0.053,2.4511
p_0.00_0.00_0.10_1050.00_0.00_25.00.smt2,Z3,0.0547,2.5644
p_50.00_50.00_0.20_100.00_0.00_0.00.smt2,Z3,0.6279,1.6442
p_50.00_50.00_0.30_100.00_0.00_0.00.smt2,Z3,0.6338,1.6792
p_100.00_100.00_0.30_100.00_0.00_0.00.smt2,Z3,0.6624,1.6772
p_100.00_100.00_0.10_100.00_0.00_0.00.smt2,Z3,0.6733,1.6919
p_50.00_50.00_0.10_100.00_0.00_0.00.smt2,Z3,0.6744,1.7049
p_100.00_100.00_0.20_100.00_0.00_0.00.smt2,Z3,0.71,1.7305
p_50.00_50.00_0.20_100.00_12.50_0.00.smt2,Z3,2.1542,4.7163
p_100.00_100.00_0.30_100.00_12.50_12.50.smt2,Golem,2.43,3.145
p_50.00_0.00_0.30_100.00_25.00_12.50.smt2,Golem,2.6185,4.134
p_50.00_100.00_0.30_100.00_12.50_25.00.smt2,Golem,2.7721,4.2838
