Filename,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Tool,Polar Runtime,Average Time per Iteration,# Iterations,Time_Seconds
p_0.00_1000.00_5000.00_5000.00_2.0000_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,2.0,1000.0,1.0,2.5555555556,Phaserr,1.834732207,1.0153489328664123,262.0,294.4511
p_0.00_1000.00_5000.00_5000.00_2.0000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,2.0,1000.0,1.0,2.7777777778,Phaserr,1.802843871,0.9840093905155038,258.0,282.1907
p_0.00_1000.00_5000.00_5000.00_2.0000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,2.0,1000.0,1.0,3.0,Phaserr,1.830026775,0.9319721202086614,254.0,262.5709
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,1.0,Phaserr,2.110990391,0.9274524381626016,246.0,230.3906
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,1.2222222222,Phaserr,2.018648998,0.8418908049831935,238.0,202.5242
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,1.4444444444,Phaserr,1.918295718,0.780840989649351,231.0,182.4181
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,1.6666666667,Phaserr,1.860986253,0.7363759784823011,226.0,168.3956
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,1.8888888889,Phaserr,1.919049222,0.699921659447964,221.0,156.7305
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,2.1111111111,Phaserr,1.828021008,0.6710352618472222,216.0,146.9084
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,2.3333333333,Phaserr,1.941355789,0.6327603526320753,212.0,136.6153
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,2.5555555556,Phaserr,1.927134023,0.6005533079904306,209.0,129.9051
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,2.7777777778,Phaserr,1.827957941,0.5724580468495148,206.0,121.8582
p_0.00_1000.00_5000.00_5000.00_2.5000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,2.5,1000.0,1.0,3.0,Phaserr,1.863795759,0.5596484139458127,203.0,118.3068
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,1.0,Phaserr,1.84993983,0.6224919451658537,205.0,137.8718
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,1.2222222222,Phaserr,1.939019481,0.5773667673333331,198.0,124.9265
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,1.4444444444,Phaserr,1.806977185,0.5365746158541665,192.0,110.854
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_1.6666666667.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,1.6666666667,Phaserr,1.81616929,0.5059145427287234,188.0,103.7983
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_1.8888888889.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,1.8888888889,Phaserr,1.76675248,0.4825107594456522,184.0,98.018
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_2.1111111111.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,2.1111111111,Phaserr,1.864384463,0.4537184682055554,180.0,88.5343
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_2.3333333333.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,2.3333333333,Phaserr,1.832977553,0.43623681756497185,177.0,86.503
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_2.5555555556.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,2.5555555556,Phaserr,1.859690037,0.4235073466264367,174.0,80.5363
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_2.7777777778.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,2.7777777778,Phaserr,1.802602616,0.40269038638596505,171.0,75.8045
p_0.00_1000.00_5000.00_5000.00_3.0000_1000.00_1.00_3.0000000000.smt2,0.0,1000.0,5000.0,5000.0,3.0,1000.0,1.0,3.0,Phaserr,1.776793477,0.38456576839880946,168.0,72.0436
