Filename,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Tool,Polar Runtime,Average Time per Iteration,# Iterations,Time_Seconds
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1.00.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1.0,Phaserr,,,,295.3741
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1035.28.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1035.28,Phaserr,,,,295.6252
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1207.66.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1207.66,Phaserr,,,,295.7605
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1380.03.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1380.03,Phaserr,2.178294869,1.1416584355668016,247.0,280.0514
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1552.41.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1552.41,Phaserr,1.892175336,0.9558127923663793,232.0,221.5197
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1724.79.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1724.79,Phaserr,1.876734526,0.8200165111461187,219.0,181.6044
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_173.38.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,173.38,Phaserr,,,,300.086
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_1897.17.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,1897.17,Phaserr,1.887711723,0.7179104748599033,207.0,150.6079
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_2069.55.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,2069.55,Phaserr,1.92171186,0.6704472472284265,197.0,134.1226
p_0.00_4000.00_5000.00_5000.00_0.0080_10000.00_1.00_2241.93.smt2,0.0,4000.0,5000.0,5000.0,0.008,10000.0,1.0,2241.93,Phaserr,2.261173644,0.5772040377647059,187.0,110.327
